PLOT-Name,3PG-Mean_DBH,3PG-Basal_Area
plot0,82.3668,44.7583
plot1,81.9794,52.7836
plot2,162.2349,43.4108
plot3,80.9991,43.7995
plot4,70.2942,38.8086
plot5,73.2763,42.1713
plot6,126.9287,30.3683
plot7,91.8644,55.6754
plot8,75.6221,44.9146
plot9,73.351,42.2573
plot10,80.0344,50.3088
plot11,81.575,51.2189
plot12,160.2176,46.3701
plot13,80.6335,50.5541
plot14,72.4154,41.1861
plot15,77.1384,46.7338
plot16,74.4533,43.537
plot17,74.5091,43.6022
plot18,72.886,41.7232
plot19,74.4215,42.6297
plot20,75.8233,43.7993
plot21,140.3029,43.2893
plot22,79.7067,44.4088
plot23,77.7397,47.4652
plot24,73.9532,42.9541
plot25,74.8458,43.9971
plot26,74.1323,43.1623
plot27,79.4709,49.6027
plot28,74.6967,43.8221
plot29,74.7016,43.8278
plot30,73.5893,42.5324
plot31,71.4947,40.1456
plot32,85.8628,55.0077
plot33,72.3376,39.4539
plot34,77.9007,46.2322
plot35,107.0077,26.98
plot36,81.7706,45.163
plot37,79.7581,49.962
plot38,81.5526,52.2355
plot39,71.9618,40.6718
plot40,79.6051,49.7705
plot41,83.0194,53.5901
plot42,80.8941,51.3953
plot43,74.1217,43.15
plot44,77.4691,47.1354
plot45,77.5179,47.1947
plot46,82.9271,46.4495
plot47,87.9262,38.2531
plot48,80.1551,49.4514
plot49,73.5265,41.6106
plot50,74.833,43.5422
plot51,99.0792,26.985
plot52,81.8446,46.8231
plot53,80.3787,48.2054
plot54,82.0045,50.7033
plot55,80.2648,48.5748
plot56,72.9935,41.8464
plot57,80.5368,50.9423
plot58,73.5156,42.4472
plot59,73.1948,42.0776
plot60,72.8714,41.7066
plot61,69.507,37.9444
plot62,80.3473,50.7029
plot63,83.5869,54.874
plot64,78.2762,48.1227
plot65,80.5095,50.9078
plot66,70.9443,39.5298
plot67,77.3875,47.0361
plot68,70.8282,35.8545
plot69,90.2032,50.4848
plot70,83.5569,54.8346
plot71,75.9214,45.2708
plot72,72.5446,40.0933
plot73,76.4557,44.5329
plot74,113.4738,39.4408
plot75,78.0371,44.0028
plot76,77.4999,47.1728
plot77,71.448,40.0931
plot78,73.6571,42.6108
plot79,82.9349,54.0212
plot80,81.0892,51.6435
plot81,79.2626,49.3431
plot82,84.8375,56.5282
plot83,73.9141,42.9086
plot84,82.0638,52.8923
plot85,68.9035,37.2883
plot86,74.7114,43.8393
plot87,77.9921,47.7739
plot88,77.6636,47.3724
plot89,78.8124,48.7842
plot90,75.2829,44.5125
plot91,93.8594,47.7414
plot92,90.3833,62.2355
plot93,80.4015,50.7713
plot94,80.8644,51.3576
plot95,74.5449,43.6441
plot96,75.3348,44.574
plot97,77.2999,46.4604
plot98,77.9126,45.7695
plot99,76.1909,43.3132
plot100,102.3161,32.0658
plot101,84.5613,52.2295
plot102,71.2206,39.8383
plot103,71.6522,40.3226
plot104,72.6173,41.4162
plot105,80.605,51.0286
plot106,78.4439,48.3291
plot107,74.3396,43.404
plot108,78.6222,48.549
plot109,74.4231,43.5016
plot110,69.5384,37.9786
plot111,66.8512,35.1001
plot112,77.1929,46.7999
plot113,74.1591,41.0339
plot114,98.915,52.2545
