cycle,All labour current earning,All independent current earnig,cycle,Count of labour partners ,Count of independent harvesters,Count of caught harvesters
0,0,0,0,0,0,0
1,0,0,1,0,0,0
2,0,0,2,20,0,0
3,51088.68352,0,3,20,0,0
4,51088.68352,0,4,20,0,0
5,51088.68352,0,5,20,0,0
6,55261.01843,0,6,20,0,0
7,67275.76829,0,7,20,0,0
8,0,0,8,0,0,0
9,7228.247523,0,9,5,0,0
10,7884.036984,733.9626585,10,6,4,0
11,9589.541479,2499.403602,11,9,4,0
12,21038.42559,3062.059298,12,10,4,0
13,22279.53137,2634.119887,13,10,4,0
14,33818.06182,2551.276711,14,11,4,0
15,14035.5233,1829.629451,15,8,4,0
16,14200.57003,2176.218131,16,8,4,0
17,6965.907878,2222.39849,17,5,7,0
18,6951.121766,3964.788983,18,6,7,0
19,11965.46865,3947.87123,19,6,8,0
20,18333.39715,4166.640555,20,5,9,0
21,10364.95959,4937.519168,21,3,9,0
22,8107.254441,4157.277102,22,4,10,0
23,9123.836877,5414.141187,23,5,11,0
24,8165.878436,4220.869218,24,3,11,0
25,9025.132059,4236.717279,25,4,11,0
26,9249.655405,3902.775173,26,4,12,0
27,10251.01805,4803.650157,27,5,12,0
28,1839.608237,5344.849204,28,3,12,1
29,1475.543947,4381.93969,29,3,11,2
30,1957.73456,1724.540781,30,3,10,0
31,5481.048771,2456.807181,31,2,11,0
32,10420.56237,2424.316863,32,2,11,0
33,5104.873692,2059.620103,33,1,12,0
34,8877.532913,2212.120156,34,2,12,0
35,4019.634901,3641.418092,35,1,12,0
36,4279.609301,2594.200693,36,2,12,0
37,4786.559381,3621.939522,37,2,12,0
38,4786.559381,3968.48487,38,2,12,0
39,5351.536427,3649.338117,39,2,12,0
40,810.5084235,3593.883572,40,1,12,0
41,1084.925846,2891.972747,41,1,12,0
42,197.580544,3186.761934,42,1,12,0
43,457.554944,2745.404981,43,1,12,0
44,457.554944,3521.87414,44,1,12,0
45,717.529344,3303.538215,45,2,12,0
46,882.1797973,2255.939767,46,3,12,3
47,1481.459021,1959.955149,47,3,9,2
48,715.1844769,1013.673074,48,3,7,1
49,1314.4637,2286.337117,49,3,7,0
50,1314.4637,809.9862139,50,3,8,0
51,1913.742924,1766.411127,51,4,8,0
52,877.4136,970.8896875,52,4,8,3
53,1186.1332,1427.387777,53,4,5,2
54,535.1139733,584.903577,54,5,3,0
55,1134.393197,535.1030666,55,6,3,0
56,1408.810619,1155.026143,56,8,4,0
57,2611.808172,1287.907533,57,7,4,0
58,3599.710892,2114.757983,58,8,4,1
59,4306.42485,430.7398615,59,8,5,0
60,2875.0728,1910.223198,60,8,6,1
61,3099.596146,1426.324516,61,7,5,0
62,2791.217209,1925.727037,62,5,5,0
63,0,3059.82857,63,5,7,0
64,617.4392,2628.539024,64,4,7,1
65,617.4392,2157.646181,65,4,7,1
66,1440.691467,1093.987049,66,2,6,0
67,1440.691467,1279.142736,67,2,6,0
68,2263.943733,1094.239478,68,3,8,0
69,0,3253.684259,69,3,8,0
70,0,1849.390161,70,2,8,1
71,0,2543.967903,71,2,7,0
72,0,2503.689315,72,2,6,0
73,0,3671.78984,73,3,6,1
74,705.6448,1731.846123,74,2,5,0
75,705.6448,2486.211427,75,2,5,0
76,1411.2896,1558.576156,76,3,5,0
77,1411.2896,1113.832705,77,4,6,0
78,2116.9344,2916.06112,78,4,6,0
79,0,1377.904597,79,3,6,1
80,411.6261333,1595.248792,80,4,5,0
81,791.5887179,1470.056548,81,4,5,0
82,791.5887179,2142.78372,82,3,5,0
83,1171.551303,2405.562376,83,2,6,0
84,1171.551303,2513.843639,84,3,6,0
85,1720.386147,3080.063864,85,3,6,1
86,0,2638.618963,86,5,5,0
87,0,3034.560652,87,4,5,0
