cycle,investor_percent_share,exotic_price_per_bdft,native_price_per_bdft,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,,partners_earning,independent_earning,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees
0,1,45.06,49.35,25,50,54885,7400,0,0,35698,26732,45519.51,0,0,,0,0,0,0,0,0
1,1,45.06,49.35,25,289,54680,7394,0,0,35488,26713,142548.12,0,-142548.12,,0,0,0,0,0,0
2,1,45.06,49.35,25,289,54458,7386,0,0,35281,26684,142548.12,0,-142548.12,,0,0,0,0,0,0
3,1,45.06,49.35,24,289,54235,7384,0,0,35035,26662,221580.3376,0,-221580.3376,,0,0,0,0,0,0
4,1,45.06,49.35,24,288,54033,7380,0,0,34796,26635,221580.3376,0,-221580.3376,,0,0,0,0,0,0
5,1,45.06,49.35,9116,286,53793,7417,0,0,34566,26605,460532.6876,395051.8605,-65480.82714,,0,0,0,0,0,0
6,1,45.06,49.35,15975,285,53611,7420,0,0,34316,26563,602649.6574,395051.8605,-207597.7969,,0,0,0,0,0,0
7,1,45.06,49.35,18605,719,53392,7427,0,0,34099,26540,675929.1074,9644816.41,8968887.303,,0,0,0,1139129.6,10,41
8,1,45.06,49.35,18233,853,53110,7516,0,0,33706,26647,1861363.991,9644816.41,7783452.419,,336812.3617,0,0,1139129.6,10,41
9,1,45.06,49.35,18029,851,52861,7569,0,0,33454,26623,1916996.661,9644816.41,7727819.749,,27225.20005,0,0,1139129.6,10,41
10,1,45.06,49.35,17808,851,52654,7573,0,0,32116,27692,1946676.219,9644816.41,7698140.191,,11896.67227,0,0,1139129.6,10,41
11,1,45.06,49.35,17616,849,52466,7573,0,0,31301,28253,2035064.902,9644816.41,7609751.508,,62218.77949,0,0,1139129.6,10,41
12,1,45.06,49.35,17427,847,52287,7570,0,0,31074,28230,2123453.585,9644816.41,7521362.825,,62218.77949,0,0,1139129.6,10,41
13,1,45.06,49.35,17229,849,52013,7634,0,0,30682,28385,2211831.521,9644816.41,7432984.889,,58709.12509,0,0,1139129.6,10,41
14,1,45.06,49.35,17039,849,51839,7630,0,0,30479,28359,2305097.567,9644816.41,7339718.843,,767.7369,0,0,1139129.6,10,41
15,1,45.06,49.35,16828,877,51664,7629,0,0,30290,28327,2333983.778,9644816.41,7310832.632,,58025.27055,0,0,1139129.6,10,41
16,1,45.06,49.35,16617,878,51477,7627,0,0,30130,28297,2409215.117,9644816.41,7235601.294,,61641.96129,0,0,1139129.6,10,41
17,1,45.06,49.35,17578,878,51292,7646,0,0,29644,28558,2507482.827,9644816.41,7137333.583,,62218.77949,0,0,1139129.6,10,41
18,1,45.06,49.35,25230,876,51102,7659,0,0,29470,28531,2593129.592,9644816.41,7051686.818,,59476.86199,0,0,1139129.6,10,41
19,1,45.06,49.35,32196,874,50925,7656,0,0,29304,28497,2678776.358,9644816.41,6966040.052,,59476.86199,0,0,1139129.6,10,41
20,1,45.06,49.35,31773,873,50731,7656,0,0,29139,28472,2800136.294,9644816.41,6844680.116,,83870.1787,0,0,1139129.6,10,41
21,1,45.06,49.35,31376,880,50516,7691,0,0,28982,28445,2822112.689,9644816.41,6822703.721,,11319.85407,0,0,1139129.6,10,41
