cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,investor_percent_earning_share,exotic_price_per_bdft,native_price_per_bdft,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,own_laborer,member_laborer,independent_laborer
0,15,1,1,15,50,0.3,90.12,98.7,25,50,54885,7400,0,0,35698,26732,45519.51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,15,1,1,15,50,0.3,90.12,98.7,25,290,54678,7392,0,0,35460,26697,142548.11999999997,0.0,-142548.11999999997,0.0,0.0,0.0,0.0,0,0,0,0,0
2,15,1,1,15,50,0.3,90.12,98.7,25,305,54483,7384,0,0,35227,26673,148441.70999999996,0.0,-148441.70999999996,0.0,0.0,0.0,0.0,0,0,16,0,0
3,15,1,1,15,50,0.3,90.12,98.7,24,318,54267,7382,0,0,35013,26638,233367.51759999996,0.0,-233367.51759999996,0.0,0.0,0.0,0.0,0,0,17,0,0
4,15,1,1,15,50,0.3,90.12,98.7,24,317,54061,7374,0,0,34782,26612,238307.03119999997,0.0,-238307.03119999997,0.0,0.0,0.0,0.0,0,0,18,0,0
5,15,1,1,15,50,0.3,90.12,98.7,9121,329,53870,7411,0,0,34547,26594,488092.4848,300898.3819004005,-187194.10289959947,0.0,0.0,0.0,0.0,0,0,20,0,0
6,15,1,1,15,50,0.3,90.12,98.7,15977,328,53688,7413,0,0,34323,26567,542215.4627250498,300898.3819004005,-241317.0808246493,0.0,0.0,0.0,0.0,0,0,21,0,0
7,15,1,1,15,50,0.3,90.12,98.7,18600,762,53481,7420,0,0,34086,26543,701041.8213250497,7240563.481573011,6539521.660247961,0.0,0.0,0.0,3512374.110000001,21,166,23,4,0
8,15,1,1,15,50,0.3,90.12,98.7,18104,821,53264,7728,0,0,33355,26997,1335364.8259798,8350902.134027887,7015537.308048087,3509.6544,0.0,0.0,3846885.930000001,23,175,42,16,0
9,15,1,1,15,50,0.3,90.12,98.7,17862,954,53030,7809,0,0,33104,27001,1538499.8694952396,9201278.259206126,7662778.389710886,25990.321653333333,0.0,0.0,4014141.8400000012,24,175,44,20,0
10,15,1,1,15,50,0.3,90.12,98.7,17611,954,52839,7828,0,0,31769,28088,1677595.126594299,9201278.259206126,7523683.132611826,344165.65094190877,0.0,0.0,4014141.8400000012,24,175,62,32,0
11,15,1,1,15,50,0.3,90.12,98.7,17399,1058,52658,7826,0,0,30984,28649,1796025.8168587436,10296958.501959814,8500932.68510107,49638.252684999985,0.0,0.0,4348653.660000001,26,185,75,47,0
12,15,1,1,15,50,0.3,90.12,98.7,17142,1052,52472,7857,0,0,30710,28649,2047094.8064053643,10296958.501959814,8249863.695554449,62218.77948999998,0.0,0.0,4348653.660000001,26,185,93,62,0
13,15,1,1,15,50,0.3,90.12,98.7,16935,1124,52241,7927,0,0,30376,28789,2319677.7337353644,11317519.501394583,8997841.767659219,59476.86198999998,0.0,0.0,4515909.570000001,27,185,108,77,0
14,15,1,1,15,50,0.3,90.12,98.7,16716,1120,52042,7934,0,0,30145,28791,2592970.477494101,11317519.501394583,8724549.023900483,58709.12508999998,0.0,0.0,4515909.570000001,27,185,126,91,0
15,15,1,1,15,50,0.3,90.12,98.7,16534,1396,51857,7936,0,0,29947,28768,2780982.1580774346,13452537.49599409,10671555.337916654,13348.263705,0.0,0.0,4850421.3900000015,29,185,135,95,0
16,15,1,1,15,50,0.3,90.12,98.7,16310,1483,51675,7949,0,0,29745,28758,3163769.2836987134,14209203.790928405,11045434.507229691,3509.6544,0.0,0.0,5017677.300000002,30,185,152,107,0
17,15,1,1,15,50,0.3,90.12,98.7,17368,1476,51482,7985,0,0,29243,29017,3337287.7665448133,14209203.790928405,10871916.024383591,96414.04666444442,0.0,0.0,5017677.300000002,30,185,159,114,0
18,15,1,1,15,50,0.3,90.12,98.7,25028,1560,51286,7993,0,0,29054,28988,3398253.3871798133,15028103.207357991,11629849.820178177,37361.84176666666,0.0,0.0,5184933.210000002,31,185,176,126,0
19,15,1,1,15,50,0.3,90.12,98.7,31989,1565,51114,8007,0,0,28847,28968,3641903.9291348574,16046046.769422898,12404142.840288041,51089.84411999999,0.0,0.0,5352189.120000002,32,185,195,141,0
