seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,investor_percent_earning_share,exotic_price_per_bdft,native_price_per_bdft,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,own_laborer,member_laborer,independent_laborer
10.0,0,15,1,1,15,50,0.3,90.12,98.7,25,50,54885,7400,0,0,35698,26732,45519.51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
10.0,1,15,1,1,15,50,0.3,90.12,98.7,25,289,54678,7396,0,0,35434,26706,142548.11999999997,0.0,-142548.11999999997,0.0,0.0,0.0,0.0,0,0,0,0,0
10.0,2,15,1,1,15,50,0.3,90.12,98.7,25,289,54469,7390,0,0,35208,26675,142548.11999999997,0.0,-142548.11999999997,0.0,0.0,0.0,0.0,0,0,16,0,0
10.0,3,15,1,1,15,50,0.3,90.12,98.7,25,288,54266,7388,0,0,35005,26644,221580.33759999997,0.0,-221580.33759999997,0.0,0.0,0.0,0.0,0,0,0,0,0
10.0,4,15,1,1,15,50,0.3,90.12,98.7,25,286,54093,7389,0,0,34760,26621,221580.33759999997,0.0,-221580.33759999997,0.0,0.0,0.0,0.0,0,0,0,0,0
10.0,5,15,1,1,15,50,0.3,90.12,98.7,9127,285,53876,7421,0,0,34513,26593,460532.68759999995,300898.3819004004,-159634.30569959956,0.0,0.0,0.0,0.0,0,0,2,0,0
10.0,6,15,1,1,15,50,0.3,90.12,98.7,16011,285,53672,7428,0,0,34277,26539,514655.6655250498,300898.3819004004,-213757.2836246494,0.0,0.0,0.0,0.0,0,0,0,0,0
10.0,7,15,1,1,15,50,0.3,90.12,98.7,18594,719,53479,7429,0,0,34076,26516,653886.6205250497,6906059.114541208,6252172.494016158,0.0,0.0,0.0,3177862.2900000005,19,148,2,4,0
10.0,8,15,1,1,15,50,0.3,90.12,98.7,18110,779,53269,7701,0,0,33413,26918,1280681.2507547499,7755177.881547548,6474496.6307927985,3509.6544,0.0,0.0,3345118.2000000007,20,148,19,12,0
10.0,9,15,1,1,15,50,0.3,90.12,98.7,17908,779,53039,7764,0,0,33174,26922,1458186.6037865737,7755177.881547548,6296991.277760974,24892.65196444445,0.0,0.0,3345118.2000000007,20,148,1,4,0
10.0,10,15,1,1,15,50,0.3,90.12,98.7,17694,777,52836,7763,0,0,31860,27997,1474004.6115199071,7755177.881547548,6281173.270027641,344165.65094190877,0.0,0.0,3345118.2000000007,20,148,19,12,0
10.0,11,15,1,1,15,50,0.3,90.12,98.7,17483,777,52639,7765,0,0,31076,28546,1612665.178969907,7922433.791547548,6309768.612577641,49638.252684999985,0.0,0.0,3512374.110000001,21,158,20,15,0
10.0,12,15,1,1,15,50,0.3,90.12,98.7,17274,776,52454,7778,0,0,30860,28553,1760872.7221599072,7922433.791547548,6161561.069387641,62218.77948999998,0.0,0.0,3512374.110000001,21,158,20,15,0
10.0,13,15,1,1,15,50,0.3,90.12,98.7,17067,775,52201,7843,0,0,30488,28689,2053691.8428499072,8089689.701547548,6035997.858697641,59476.86198999998,0.0,0.0,3679630.020000001,22,168,20,15,0
10.0,14,15,1,1,15,50,0.3,90.12,98.7,16860,774,51993,7850,0,0,30278,28690,2221242.1885399073,8591457.431547549,6370215.243007641,58709.12508999998,0.0,0.0,4181397.7500000014,25,195,20,14,0
10.0,15,15,1,1,15,50,0.3,90.12,98.7,16627,905,51818,7897,0,0,30003,28738,2436574.1963549075,9626585.486736434,7190011.290381527,13348.263705,0.0,0.0,4348653.660000001,26,195,3,4,0
10.0,16,15,1,1,15,50,0.3,90.12,98.7,16400,904,51642,7913,0,0,29806,28729,2617395.5180552583,9626585.486736434,7009189.968681175,3509.6544,0.0,0.0,4348653.660000001,26,195,17,12,0
10.0,17,15,1,1,15,50,0.3,90.12,98.7,17432,905,51439,7931,0,0,29325,28976,2721372.088319703,9626585.486736434,6905213.398416731,116734.39564499998,0.0,0.0,4348653.660000001,26,195,11,15,0
10.0,18,15,1,1,15,50,0.3,90.12,98.7,25107,902,51268,7942,0,0,29128,28937,2841122.012529703,9793841.396736434,6952719.384206731,76250.89773,0.0,0.0,4515909.570000001,27,205,20,15,0
10.0,19,15,1,1,15,50,0.3,90.12,98.7,32105,901,51089,7951,0,0,28917,28928,3017563.801089703,10295609.126736434,7278045.325646731,59476.86198999998,0.0,0.0,5017677.300000002,30,235,20,15,0
10.0,20,15,1,1,15,50,0.3,90.12,98.7,31662,897,50928,7999,0,0,28675,28957,3174489.508949703,10295609.126736434,7121119.617786732,61641.96128999998,0.0,0.0,5017677.300000002,30,235,20,15,0
10.0,21,15,1,1,15,50,0.3,90.12,98.7,31283,1019,50730,8037,0,0,28481,28926,3377061.560424703,11072422.502857665,7695360.942432961,79676.66976499998,0.0,0.0,5184933.210000002,31,235,13,3,0
10.0,22,15,1,1,15,50,0.3,90.12,98.7,30864,1114,50510,8107,0,0,28277,28902,3576835.493521096,11965370.773861036,8388535.2803399395,20283.69014,0.0,0.0,5352189.120000002,32,235,17,12,0
10.0,23,15,1,1,15,50,0.3,90.12,98.7,30481,1213,50330,8127,0,0,28073,28887,3835501.7355251336,13146843.108346203,9311341.37282107,3509.6544,0.0,0.0,5519445.030000002,33,235,5,4,0
10.0,24,15,1,1,15,50,0.3,90.12,98.7,30086,1297,50166,8142,0,0,27897,28857,4047039.5594223756,14176646.723418994,10129607.163996618,45444.74374999999,0.0,0.0,5853956.850000002,35,245,17,12,0
10.0,25,15,1,1,15,50,0.3,90.12,98.7,29679,1398,50025,8173,26199,0,27683,28858,4419359.71974019,15019294.15769381,10599934.437953621,47513.77438499999,0.0,0.0,6021212.760000003,36,245,13,15,0
10.0,26,15,1,1,15,50,0.3,90.12,98.7,29303,1395,49807,8268,25392,0,27531,28839,4640027.471480343,15019294.15769381,10379266.686213467,52988.40195833332,0.0,0.0,6021212.760000003,36,245,15,12,0
10.0,27,15,1,1,15,50,0.3,90.12,98.7,28934,1464,49656,8264,24661,0,27333,28820,4755760.590200342,16043654.962382456,11287894.372182114,46896.33518499999,0.0,0.0,6355724.580000003,38,252,15,15,0
10.0,28,15,1,1,15,50,0.3,90.12,98.7,28562,1458,49533,8289,23890,0,27151,28832,5002137.276589362,16043654.962382456,11041517.685793094,58709.12508999998,0.0,0.0,6355724.580000003,38,252,18,14,0
10.0,29,15,1,1,15,50,0.3,90.12,98.7,33636,1560,49356,8295,23182,0,26981,28810,5179737.238237696,17036924.564610943,11857187.326373247,82609.50596499999,0.0,0.0,6522980.490000003,39,252,9,4,0
10.0,30,15,1,1,15,50,0.3,90.12,98.7,36323,1556,49174,8358,22500,0,26834,28802,5372799.1668508975,17036924.564610943,11664125.397760045,16090.181204999999,0.0,0.0,6522980.490000003,39,252,18,5,0
10.0,31,15,1,1,15,50,0.3,90.12,98.7,43849,1640,48995,8355,21887,0,25686,29749,5472060.904830897,18170041.582315437,12697980.67748454,13348.263705,0.0,0.0,6857492.310000003,41,261,14,14,0
10.0,32,15,1,1,15,50,0.3,90.12,98.7,43241,1750,48874,8396,21208,0,24977,30307,5760102.889325149,19060486.399696436,13300383.510371286,49061.43448499998,0.0,0.0,7024748.220000003,42,261,15,12,0
10.0,33,15,1,1,15,50,0.3,90.12,98.7,42706,1818,48712,8419,20567,0,24841,30279,6001230.562174865,20080791.563549418,14079561.001374554,49638.252684999985,0.0,0.0,7192004.130000004,43,261,15,15,0
10.0,34,15,1,1,15,50,0.3,90.12,98.7,42205,1898,48481,8518,19957,0,24680,30252,6268563.045414496,20952074.362044837,14683511.316630341,68558.62469166666,0.0,0.0,7359260.040000004,44,261,13,12,0
