seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,investor_percent_earning_share,exotic_price_per_bdft,native_price_per_bdft,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,own_laborer,member_laborer,independent_laborer
10.0,0,15,1,1,15,50,0.3,90.12,98.7,25,50,54885,7400,0,0,35698,26732,45519.51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
10.0,1,15,1,1,15,50,0.3,90.12,98.7,25,289,54678,7396,0,0,35434,26706,142548.11999999997,0.0,-142548.11999999997,0.0,0.0,0.0,0.0,0,0,0,0,0
10.0,2,15,1,1,15,50,0.3,90.12,98.7,25,289,54469,7390,0,0,35208,26675,142548.11999999997,0.0,-142548.11999999997,0.0,0.0,0.0,0.0,0,0,16,0,0
10.0,3,15,1,1,15,50,0.3,90.12,98.7,25,288,54266,7388,0,0,35005,26644,221580.33759999997,0.0,-221580.33759999997,0.0,0.0,0.0,0.0,0,0,0,0,0
10.0,4,15,1,1,15,50,0.3,90.12,98.7,25,286,54093,7389,0,0,34760,26621,221580.33759999997,0.0,-221580.33759999997,0.0,0.0,0.0,0.0,0,0,0,0,0
10.0,5,15,1,1,15,50,0.3,90.12,98.7,9127,286,53873,7422,0,0,34536,26596,460532.68759999995,300898.38190040045,-159634.3056995995,0.0,0.0,0.0,0.0,0,0,2,0,0
10.0,6,15,1,1,15,50,0.3,90.12,98.7,16005,286,53647,7422,0,0,34302,26559,514655.6655250498,300898.38190040045,-213757.28362464934,0.0,0.0,0.0,0.0,0,0,0,0,0
10.0,7,15,1,1,15,50,0.3,90.12,98.7,18577,721,53477,7427,0,0,34082,26533,653886.6205250497,6906051.6615730105,6252165.0410479605,0.0,0.0,0.0,3177862.2900000005,19,148,2,4,0
10.0,8,15,1,1,15,50,0.3,90.12,98.7,18099,780,53265,7702,0,0,33404,26920,1280679.9101798001,7755160.371157833,6474480.460978033,3509.6544,0.0,0.0,3345118.2000000007,20,148,19,12,0
10.0,9,15,1,1,15,50,0.3,90.12,98.7,17895,776,53032,7772,0,0,33149,26915,1456207.6487303148,7755160.371157833,6298952.722427519,22916.846524444445,0.0,0.0,3345118.2000000007,20,148,1,4,0
10.0,10,15,1,1,15,50,0.3,90.12,98.7,17682,775,52821,7768,0,0,31838,27992,1472025.6564636482,7755160.371157833,6283134.714694185,344165.65094190877,0.0,0.0,3345118.2000000007,20,148,19,12,0
10.0,11,15,1,1,15,50,0.3,90.12,98.7,17471,773,52621,7772,0,0,31030,28561,1603358.2789136483,7755160.371157833,6151802.0922441855,49638.252684999985,0.0,0.0,3345118.2000000007,20,148,20,15,0
10.0,12,15,1,1,15,50,0.3,90.12,98.7,17277,771,52442,7762,0,0,30806,28533,1766120.8271036483,8089672.191157834,6323551.364054185,62218.77948999998,0.0,0.0,3679630.020000001,22,167,20,15,0
10.0,13,15,1,1,15,50,0.3,90.12,98.7,17036,774,52171,7865,0,0,30392,28725,2059040.8327936484,8256928.101157834,6197887.2683641855,59476.86198999998,0.0,0.0,3846885.930000001,23,176,20,15,0
10.0,14,15,1,1,15,50,0.3,90.12,98.7,16837,774,51972,7873,0,0,30184,28712,2212036.1734836483,8424184.011157833,6212147.837674185,58709.12508999998,0.0,0.0,4014141.8400000012,24,186,20,14,0
10.0,15,15,1,1,15,50,0.3,90.12,98.7,16636,771,51785,7885,0,0,29969,28706,2419939.3512986484,8424184.011157833,6004244.659859184,13348.263705,0.0,0.0,4014141.8400000012,24,186,1,4,0
10.0,16,15,1,1,15,50,0.3,90.12,98.7,16431,816,51628,7882,0,0,29779,28678,2473015.1343086483,9685853.570228986,7212838.435920338,3509.6544,0.0,0.0,4515909.570000001,27,206,20,12,0
10.0,17,15,1,1,15,50,0.3,90.12,98.7,17426,815,51435,7944,0,0,29234,28987,2749066.41350569,10683301.065889059,7934234.652383368,116734.39564499998,0.0,0.0,4683165.480000001,28,206,20,15,0
10.0,18,15,1,1,15,50,0.3,90.12,98.7,25074,844,51235,7968,0,0,29033,28979,3044175.543816784,11482362.416040644,8438186.87222386,72726.14585833332,0.0,0.0,4850421.3900000015,29,206,20,13,0
10.0,19,15,1,1,15,50,0.3,90.12,98.7,32062,841,51070,7988,0,0,28826,28964,3286288.4450461585,11482362.416040644,8196073.970994486,57708.883198982985,0.0,0.0,4850421.3900000015,29,206,19,14,0
10.0,20,15,1,1,15,50,0.3,90.12,98.7,31678,838,50875,7996,0,0,28661,28934,3425361.4846961587,11482362.416040644,8057000.931344485,56470.704884999985,0.0,0.0,4850421.3900000015,29,206,20,13,0
10.0,21,15,1,1,15,50,0.3,90.12,98.7,31311,840,50677,8028,0,0,28504,28905,3628891.724041159,11482362.416040644,7853470.691999486,71289.651895,0.0,0.0,4850421.3900000015,29,206,1,3,0
10.0,22,15,1,1,15,50,0.3,90.12,98.7,30921,851,50450,8078,0,0,28317,28880,3663247.3147811587,11816874.236040644,8153626.921259485,16090.181204999999,0.0,0.0,5184933.210000002,31,225,20,15,0
10.0,23,15,1,1,15,50,0.3,90.12,98.7,30524,848,50280,8108,0,0,28110,28879,3812463.707971159,11816874.236040644,8004410.528069485,16090.181204999999,0.0,0.0,5184933.210000002,31,225,20,4,0
10.0,24,15,1,1,15,50,0.3,90.12,98.7,30168,845,50071,8110,0,0,27932,28847,3930207.392876159,12151386.056040645,8221178.663164485,49638.252684999985,0.0,0.0,5519445.030000002,33,243,20,12,0
10.0,25,15,1,1,15,50,0.3,90.12,98.7,29771,844,49915,8151,26248,0,27731,28864,4067034.281761159,12151386.056040645,8084351.774279485,59476.86198999998,0.0,0.0,5519445.030000002,33,243,19,15,0
10.0,26,15,1,1,15,50,0.3,90.12,98.7,29453,843,49673,8230,25462,0,27584,28840,4221038.472451159,12318641.966040645,8097603.493589486,63670.37092499998,0.0,0.0,5686700.940000002,34,253,20,15,0
10.0,27,15,1,1,15,50,0.3,90.12,98.7,29066,839,49478,8248,24691,0,27428,28836,4413944.201426159,12318641.966040645,7904697.764614486,63670.37092499998,0.0,0.0,5686700.940000002,34,253,1,15,0
10.0,28,15,1,1,15,50,0.3,90.12,98.7,28720,837,49291,8242,23982,0,27275,28806,4510446.178456158,12653153.786040645,8142707.607584487,67096.14295999998,0.0,0.0,6021212.760000003,36,270,20,14,0
10.0,29,15,1,1,15,50,0.3,90.12,98.7,33714,934,49139,8287,23255,0,27125,28817,4701726.867661159,13501580.536218315,8799853.668557156,90996.52383499999,0.0,0.0,6188468.670000003,37,270,20,5,0
10.0,30,15,1,1,15,50,0.3,90.12,98.7,36391,932,48957,8350,22555,0,26978,28794,4944717.081090002,13501580.536218315,8556863.455128312,24477.199074999997,0.0,0.0,6188468.670000003,37,270,20,1,0
10.0,31,15,1,1,15,50,0.3,90.12,98.7,43883,930,48781,8350,21898,0,25843,29723,5070786.539560002,14892429.571445694,9821643.031885691,767.7368999999999,0.0,0.0,6857492.310000003,41,300,20,12,0
10.0,32,15,1,1,15,50,0.3,90.12,98.7,43209,1033,48665,8431,21166,0,25138,30319,5339992.387004623,15952422.869844936,10612430.482840313,159230.90677884428,0.0,0.0,7192004.130000004,43,309,20,8,0
10.0,33,15,1,1,15,50,0.3,90.12,98.7,42619,1257,48552,8466,20529,0,24989,30313,5655477.04611915,18961682.254246835,13306205.208127685,37057.72588,0.0,0.0,7693771.860000004,46,309,5,15,0
10.0,34,15,1,1,15,50,0.3,90.12,98.7,42030,1251,48370,8590,19904,0,24861,30302,6155395.615782522,18961682.254246835,12806286.638464313,49865.17899999999,0.0,0.0,7693771.860000004,46,309,15,8,0
