cycle,investor_count,police_count,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,partners_earning,independent_earning,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees
265,10,1,70061,125172,22354,13450,35488,40017,3487,37411,42281310.38,63701440.55,21420130.17,2110855.696,0,8413003.094,2967930.49,49,294
265,10,3,69979,125210,22473,13480,35442,40208,3374,37350,42600128.94,62076851.33,19476722.39,2901319.245,0,7921673.969,2967930.49,49,264
265,10,5,70465,125420,22126,13554,35394,40273,3342,37320,42624293.48,61460752.65,18836459.17,2402167.976,0,7684472.694,2967930.49,49,269
265,20,1,70900,126210,23390,13932,35271,39865,3738,37298,49008982.49,140284223,91275240.5,2813181.842,0,19143251.67,5996430.99,100,869
265,20,3,69785,125876,23096,13744,35504,39995,3813,37576,48016545.69,139099697.1,91083151.42,1316528.526,0,18732358.69,5996430.99,99,871
265,20,5,69820,125175,23267,13818,35552,40133,3938,37502,48111784.21,135734894.9,87623110.65,2588236.918,0,19059784.51,5875290.97,97,846
265,30,1,71138,126529,24507,14231,35254,39813,4322,37343,60917001.46,173099543.1,112182541.6,3765802.638,0,22190790.44,8298091.37,138,852
265,30,3,70734,126528,24283,14215,35411,39913,4062,37474,56502526.37,194061382.5,137558856.1,4342376.742,0,26230816.28,8600941.42,142,1144
265,30,5,70647,126700,24744,14061,35244,39780,4440,37235,57787741.09,184323422.4,126535681.3,2678687.903,0,24729927.46,8661511.43,143,1032
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Member count,15,,,,,,,,,,,,,,,,,,
