seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,exotic_price_per_bdft,native_price_per_bdft,investor_percent_earning_share,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,with_investment
3331233084773310500.0,128,10,1,1,30,10,45.06,49.35,0.3,72989,54935,34022,9846,20926,29290,8507,32861,11737057.548647182,6626360.993681959,-5110696.554965223,9421164.909296151,64684109.50412652,2844189.661816228,1139129.5999999999,10,48,true
3331233084773310500.0,128,10,1,1,30,10,90.12,98.7,0.3,72989,54935,34022,9846,20926,29290,8507,32861,11737057.548647182,12113592.387363918,376534.83871673606,10023893.223552756,129368219.00825304,5688379.323632456,1139129.5999999999,10,48,true
3331233084773310500.0,128,10,1,1,15,10,45.06,49.35,0.3,75261,54329,34393,10304,22949,30574,8382,35524,11595290.030218404,6111532.383382546,-5483757.646835858,6075176.118808202,0.0,2728807.73054517,1139129.5999999999,10,70,true
3331233084773310500.0,128,10,1,1,15,10,90.12,98.7,0.3,75261,54329,34393,10304,22949,30574,8382,35524,11595290.030218404,11083935.166765092,-511354.86345331185,6075176.118808202,0.0,5457615.46109034,1139129.5999999999,10,70,true
3331233084773310500.0,128,10,1,3,30,10,45.06,49.35,0.3,73458,55946,34279,9612,19778,29152,8354,30964,10537412.434258992,6641564.889668206,-3895847.544590786,6583050.421259342,122295727.36215104,2844189.661816228,1139129.5999999999,10,48,true
3331233084773310500.0,128,10,1,3,30,10,90.12,98.7,0.3,73458,55946,34279,9612,19778,29152,8354,30964,10537412.434258992,12144000.17933641,1606587.7450774182,6606542.988781797,244591454.72430208,5688379.323632456,1139129.5999999999,10,48,true
3331233084773310500.0,128,10,1,3,15,10,45.06,49.35,0.3,75174,54740,34296,10274,23076,30364,8421,35526,11558084.938364051,6045591.1308348505,-5512493.807529201,6054327.758403926,0.0,2674816.328481143,1139129.5999999999,10,72,true
3331233084773310500.0,128,10,1,3,15,10,90.12,98.7,0.3,75174,54740,34296,10274,23076,30364,8421,35526,11558084.938364051,10952052.661669701,-606032.27669435,6054327.758403926,0.0,5349632.656962286,1139129.5999999999,10,72,true
3331233084773310500.0,128,10,4,1,30,10,45.06,49.35,0.3,75553,54832,34537,10286,22973,30551,8332,35535,13570644.351327555,7304654.833999497,-6265989.517328058,9424638.148545498,0.0,2844189.661816228,1139129.5999999999,10,48,true
3331233084773310500.0,128,10,4,1,30,10,90.12,98.7,0.3,75553,54832,34537,10286,22973,30551,8332,35535,13570644.351327555,13470180.067998994,-100464.28332856111,9424638.148545498,0.0,5688379.323632456,1139129.5999999999,10,48,true
3331233084773310500.0,128,10,4,1,15,10,45.06,49.35,0.3,75571,54698,34285,10299,22931,30574,8436,35413,13339753.528648382,6281761.855750651,-7057991.672897731,5592588.466122319,0.0,2643306.0561247645,1139129.5999999999,10,94,true
3331233084773310500.0,128,10,4,1,15,10,90.12,98.7,0.3,75571,54698,34285,10299,22931,30574,8436,35413,13339753.528648382,11424394.111501303,-1915359.4171470795,5592588.466122319,0.0,5286612.112249529,1139129.5999999999,10,94,true
3331233084773310500.0,128,10,4,3,30,10,45.06,49.35,0.3,75493,55219,34331,10154,21750,29987,8492,33956,13095029.733591963,7027941.3668295555,-6067088.366762407,8765410.113956885,44962883.05670832,2589676.355851602,1139129.5999999999,10,48,true
3331233084773310500.0,128,10,4,3,30,10,90.12,98.7,0.3,75493,55219,34331,10154,21750,29987,8492,33956,13095029.733591963,12916753.133659113,-178276.5999328494,8765410.113956885,89925766.11341664,5179352.711703204,1139129.5999999999,10,48,true
3331233084773310500.0,128,10,4,3,15,10,45.06,49.35,0.3,75602,54828,34496,10291,22919,30437,8440,35576,13278116.61871795,6334613.203572309,-6943503.415145641,5752403.110650783,0.0,2336856.3901531803,1139129.5999999999,10,84,true
3331233084773310500.0,128,10,4,3,15,10,90.12,98.7,0.3,75602,54828,34496,10291,22919,30437,8440,35576,13278116.61871795,11530096.807144616,-1748019.811573334,5752403.110650783,0.0,4673712.780306361,1139129.5999999999,10,84,true
3331233084773310500.0,143,10,1,1,30,30,45.06,49.35,0.3,66148,69587,33227,10728,4972,37760,5937,36991,30863336.10696883,15594205.77727978,-15269130.329689052,16690564.131643876,0.0,5347139.012076041,3417388.7999999993,30,242,true
3331233084773310500.0,141,10,1,1,30,30,90.12,98.7,0.3,76591,61993,33580,10678,5322,39509,6198,36788,30486084.65067289,27222292.572851196,-3263792.0778216943,16581852.899734888,0.0,10746061.689101346,3417388.7999999993,30,257,true
3331233084773310500.0,139,10,1,1,15,30,45.06,49.35,0.3,78448,62015,33663,10615,5657,40597,7140,35964,21140953.339094978,13348511.657430012,-7792441.681664966,6637137.1909771515,0.0,3604915.2270192616,3417388.7999999993,30,322,true
3331233084773310500.0,138,10,1,1,15,30,90.12,98.7,0.3,72190,62674,33800,10574,5836,41723,7723,35437,21803546.696291022,23565080.115173988,1761533.418882966,7177353.064440719,0.0,7644703.889699813,3417388.7999999993,30,314,true
3331233084773310500.0,136,10,1,3,30,30,45.06,49.35,0.3,57116,64342,33970,10608,6319,44880,7971,35520,28855293.352647487,13972361.293200703,-14882932.059446784,15506480.812365983,0.0,5007851.195790867,3417388.7999999993,30,313,true
3331233084773310500.0,136,10,1,3,30,30,90.12,98.7,0.3,57116,64342,33970,10608,6319,44880,7971,35520,28855293.352647487,24527333.78640141,-4327959.566246077,15506480.812365983,0.0,10015702.391581735,3417388.7999999993,30,313,true
3331233084773310500.0,138,10,1,3,15,30,45.06,49.35,0.3,72233,62666,33486,10579,5871,42001,7755,35529,22054184.74542808,12331271.707942853,-9722913.037485229,7472418.335680339,0.0,4626557.703370901,3417388.7999999993,30,375,true
