seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,exotic_price_per_bdft,native_price_per_bdft,investor_percent_earning_share,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,own_laborer,member_laborer,independent_laborer,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,with_investment
10.0,188,15,3,3,30,15,45.06,49.35,0.4,84874,86545,27998,11620,5534,45354,4250,37158,24057839.904798463,9161520.194711605,-14896319.710086858,17556769.25768378,0.0,548,3935,0,5101248.722356798,2508838.65,15,214,true
10.0,188,15,3,3,30,15,90.12,98.7,0.4,84874,86545,27998,11620,5534,45354,4250,37158,24057839.904798463,15814201.739423208,-8243638.165375255,17556769.25768378,0.0,548,3935,0,10202497.444713596,2508838.65,15,214,true
10.0,188,15,3,3,15,15,45.06,49.35,0.4,84943,86333,27702,11623,5512,45517,4136,37391,23195320.56355457,5085287.303500834,-18110033.260053735,8661396.56556842,0.0,2735,2027,0,263590.8572651255,2508838.65,15,368,true
10.0,188,15,3,3,15,15,90.12,98.7,0.4,84943,86333,27702,11623,5512,45517,4136,37391,23195320.56355457,7661735.957001666,-15533584.606552904,8661396.56556842,0.0,2735,2027,0,527181.714530251,2508838.65,15,368,true
10.0,188,15,3,1,30,15,45.06,49.35,0.4,84746,86908,28183,11670,5565,45484,4210,37365,24123753.946351,9031525.282789268,-15092228.663561732,17566759.078661278,0.0,559,3936,0,4918770.392309715,2508838.65,15,215,true
10.0,188,15,3,1,30,15,90.12,98.7,0.4,84746,86908,28183,11670,5565,45484,4210,37365,24123753.946351,15554211.915578533,-8569542.030772466,17566759.078661278,0.0,559,3936,0,9837540.78461943,2508838.65,15,215,true
10.0,188,15,3,1,15,15,45.06,49.35,0.4,84713,86300,27907,11583,5599,45585,4170,37381,23136908.80028346,5085287.303500834,-18051621.496782627,8657005.886812862,0.0,2730,2027,0,263590.8572651255,2508838.65,15,365,true
10.0,188,15,3,1,15,15,90.12,98.7,0.4,84713,86300,27907,11583,5599,45585,4170,37381,23136908.80028346,7661735.957001666,-15475172.843281796,8657005.886812862,0.0,2730,2027,0,527181.714530251,2508838.65,15,365,true
10.0,188,15,1,3,30,15,45.06,49.35,0.4,84896,86534,27974,11672,5553,45411,4144,37248,22974120.05904598,9191680.185571402,-13782439.87347458,17553035.890249908,0.0,323,3828,0,5818524.695706538,2508838.65,15,196,true
10.0,188,15,1,3,30,15,90.12,98.7,0.4,84896,86534,27974,11672,5553,45411,4144,37248,22974120.05904598,15874521.721142802,-7099598.337903179,17553035.890249908,0.0,323,3828,0,11637049.391413076,2508838.65,15,196,true
10.0,188,15,1,3,15,15,45.06,49.35,0.4,84506,85645,27733,11628,5502,45454,4137,37363,21934722.47609373,5133066.3226815695,-16801656.153412163,9072025.791860107,0.0,2437,1974,0,1013510.6491934189,2508838.65,15,342,true
10.0,188,15,1,3,15,15,90.12,98.7,0.4,84506,85645,27733,11628,5502,45454,4137,37363,21934722.47609373,7757293.995363139,-14177428.480730593,9072025.791860107,0.0,2437,1974,0,2027021.2983868378,2508838.65,15,342,true
10.0,188,15,1,1,30,15,45.06,49.35,0.4,85135,86803,27973,11689,5478,45268,4116,37274,22619000.35789346,8590907.138002036,-14028093.219891423,17741504.750926808,0.0,319,3830,0,5017493.9656140525,2508838.65,15,213,true
10.0,188,15,1,1,30,15,90.12,98.7,0.4,85135,86803,27973,11689,5478,45268,4116,37274,22619000.35789346,14672975.626004074,-7946024.731889386,17741504.750926808,0.0,319,3830,0,10034987.931228105,2508838.65,15,213,true
10.0,188,15,1,1,15,15,45.06,49.35,0.4,84625,85810,27925,11621,5524,45346,4163,37277,21967555.91343816,5426475.380953362,-16541080.532484798,9056949.759054543,0.0,2429,1974,0,1404722.7268891428,2508838.65,15,330,true
10.0,188,15,1,1,15,15,90.12,98.7,0.4,84625,85810,27925,11621,5524,45346,4163,37277,21967555.91343816,8344112.111906724,-13623443.801531436,9056949.759054543,0.0,2429,1974,0,2809445.4537782855,2508838.65,15,330,true
10.0,188,15,3,3,30,5,45.06,49.35,0.4,73201,80143,27706,9613,4666,35978,3883,29728,10806189.42141071,4562060.59375485,-6244128.827655859,7755040.287382807,169541653.29869625,421,1763,1774,1189562.9402638255,836279.55,5,0,true
10.0,188,15,3,3,30,5,90.12,98.7,0.4,72883,80273,27462,9476,4724,36180,3820,29420,10817228.538516913,8287841.6375097,-2529386.9010072127,8284156.875083996,356820395.16383857,442,1760,1875,2379125.880527651,836279.55,5,0,true
10.0,188,15,3,3,15,5,45.06,49.35,0.4,82438,84252,27700,11084,5242,41061,4030,35079,10738477.095667541,4880490.808487122,-5857986.287180419,7146329.523206429,53834769.42422893,396,1561,371,2225737.422448444,836279.55,5,10,true
