seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,exotic_price_per_bdft,native_price_per_bdft,investor_percent_earning_share,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,own_laborer,member_laborer,independent_laborer,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,with_investment
10.0,198,15,3,3,30,30,45.06,49.35,0.4,81327,98501,27633,12131,26339,41968,3537,38051,39851833.74898415,14738333.680608897,-25113500.068375252,18435799.05543603,0.0,3160,4972,0,5063276.177288171,5017677.300000002,30,488,true
10.0,198,15,3,3,30,30,90.12,98.7,0.4,81327,98501,27633,12131,26339,41968,3537,38051,39851833.74898415,24458990.061217792,-15392843.687766358,18435799.05543603,0.0,3160,4972,0,10126552.354576342,5017677.300000002,30,488,true
10.0,199,15,3,3,15,30,45.06,49.35,0.4,88465,95056,27040,12179,25609,39900,3255,38124,30410778.995547626,14022266.87118637,-16388512.124361256,9784023.28709575,0.0,3179,2539,0,5283522.743595469,5017677.300000002,30,507,true
10.0,199,15,3,3,15,30,90.12,98.7,0.4,88465,95056,27040,12179,25609,39900,3255,38124,30410778.995547626,23026856.442372732,-7383922.553174894,9784023.28709575,0.0,3179,2539,0,10567045.487190938,5017677.300000002,30,507,true
10.0,200,15,3,1,30,30,45.06,49.35,0.4,88664,95601,27230,12303,24905,40165,3485,38161,39128362.05383701,11827968.984556353,-27300393.069280654,19211092.640370682,0.0,3210,5032,0,3290091.3893891717,5017677.300000002,30,617,true
10.0,200,15,3,1,30,30,90.12,98.7,0.4,88664,95601,27230,12303,24905,40165,3485,38161,39128362.05383701,18638260.6691127,-20490101.384724308,19211092.640370682,0.0,3210,5032,0,6580182.778778343,5017677.300000002,30,617,true
10.0,199,15,3,1,15,30,45.06,49.35,0.4,88564,94855,27132,12181,25528,39923,3287,38211,29824650.01584316,13121796.903837224,-16702853.112005936,9567914.842009032,0.0,3188,2541,0,5098514.928068858,5017677.300000002,30,566,true
10.0,199,15,3,1,15,30,90.12,98.7,0.4,88564,94855,27132,12181,25528,39923,3287,38211,29824650.01584316,21225916.50767444,-8598733.50816872,9567914.842009032,0.0,3188,2541,0,10197029.856137715,5017677.300000002,30,566,true
10.0,203,15,1,3,30,30,45.06,49.35,0.4,75689,102882,26894,12339,22854,36886,4278,38183,38838883.91586316,10438459.85685934,-28400424.059003815,19792475.973113965,0.0,3246,5041,0,1503045.2258701304,5017677.300000002,30,648,true
10.0,203,15,1,3,30,30,90.12,98.7,0.4,75689,102882,26894,12339,22854,36886,4278,38183,38838883.91586316,15859242.41371867,-22979641.502144486,19792475.973113965,0.0,3246,5041,0,3006090.4517402607,5017677.300000002,30,648,true
10.0,197,15,1,3,15,30,45.06,49.35,0.4,71129,96016,27178,12126,27347,42234,3392,38378,27899509.630958967,10493748.650184317,-17405760.98077465,10497373.819858458,0.0,3161,2456,0,2219870.1394600687,5017677.300000002,30,643,true
10.0,197,15,1,3,15,30,90.12,98.7,0.4,71129,96016,27178,12126,27347,42234,3392,38378,27899509.630958967,15969820.000368636,-11929689.63059033,10497373.819858458,0.0,3161,2456,0,4439740.278920137,5017677.300000002,30,643,true
10.0,198,15,1,1,30,30,45.06,49.35,0.4,81223,98125,27218,12244,26535,42228,3602,38382,39183325.719999954,13708052.726290153,-25475272.993709803,19054042.464482438,0.0,3158,4913,0,5232988.118503602,5017677.300000002,30,519,true
10.0,198,15,1,1,30,30,90.12,98.7,0.4,81223,98125,27218,12244,26535,42228,3602,38382,39183325.719999954,22398428.152580306,-16784897.56741965,19054042.464482438,0.0,3158,4913,0,10465976.237007204,5017677.300000002,30,519,true
10.0,198,15,1,1,15,30,45.06,49.35,0.4,80104,95472,27097,12163,26325,41196,3259,38385,30230492.222088814,13466614.346083049,-16763877.876005765,9591766.681040088,0.0,3161,2468,0,5214638.525016169,5017677.300000002,30,525,true
10.0,198,15,1,1,15,30,90.12,98.7,0.4,80104,95472,27097,12163,26325,41196,3259,38385,30230492.222088814,21915551.392166093,-8314940.829922721,9591766.681040088,0.0,3161,2468,0,10429277.050032338,5017677.300000002,30,525,true
10.0,139,10,3,3,30,30,45.06,49.35,0.4,79342,63193,33895,10616,5812,42247,7207,36062,28394408.554519996,11765634.759057602,-16628773.795462394,12818213.375252072,0.0,2175,3445,0,3618228.5859579705,3417388.7999999993,30,382,true
10.0,139,10,3,3,30,30,90.12,98.7,0.4,79342,63193,33895,10616,5812,42247,7207,36062,28394408.554519996,20113880.718115203,-8280527.836404793,12818213.375252072,0.0,2175,3445,0,7236457.171915941,3417388.7999999993,30,382,true
10.0,139,10,3,3,15,30,45.06,49.35,0.4,78999,62472,33426,10631,5692,41332,7116,36090,21112954.985390462,9035486.236851672,-12077468.74853879,7123936.054221783,0.0,2187,1750,0,2088948.5041999668,3417388.7999999993,30,483,true
10.0,139,10,3,3,15,30,90.12,98.7,0.4,78999,62472,33426,10631,5692,41332,7116,36090,21112954.985390462,14653583.673703345,-6459371.311687117,7123936.054221783,0.0,2187,1750,0,4177897.0083999336,3417388.7999999993,30,483,true
10.0,137,10,3,1,30,30,45.06,49.35,0.4,65293,64413,34089,10581,6150,44369,7793,35578,27334367.767490223,10085548.354691746,-17248819.41279848,13052609.736394078,0.0,2164,3380,0,1857450.8199538575,3417388.7999999993,30,445,true
10.0,137,10,3,1,30,30,90.12,98.7,0.4,65293,64413,34089,10581,6150,44369,7793,35578,27334367.767490223,16753707.909383493,-10580659.85810673,13052609.736394078,0.0,2164,3380,0,3714901.639907715,3417388.7999999993,30,445,true
