cycle,Native,Exotic,Total,,Total
0,62360,62430,124790,,124790
1,62134,62151,124285,,124565
2,61936,61930,123866,,124093
3,61743,61677,123420,,123631
4,61536,61421,122957,,123169
5,70452,61140,131592,,131769
6,77128,60868,137996,,138217
7,79580,60635,140215,,140849
8,79154,60380,139534,,140173
9,78731,60125,138856,,139543
10,78312,59897,138209,,138877
11,77888,59644,137532,,138241
12,77485,59404,136889,,137630
13,77076,59146,136222,,137011
14,76662,58910,135572,,136358
15,76284,58690,134974,,135880
16,75905,58453,134358,,135314
17,76603,58225,134828,,136073
18,84036,58016,142052,,143361
19,90833,57803,148636,,149996
20,90264,57609,147873,,149207
21,89707,57380,147087,,148563
22,89097,57189,146286,,147830
23,88567,56979,145546,,147080
24,88064,56774,144838,,146336
25,87540,82908,170448,,171863
26,87004,81923,168927,,170367
27,86494,80961,167455,,168901
28,85997,80076,166073,,167523
29,90829,79194,170023,,171615
30,93257,78353,171610,,173356
31,100568,77539,178107,,179870
32,99871,76707,176578,,178429
33,99213,75872,175085,,177029
34,98550,75075,173625,,175589
35,97914,74337,172251,,174222
36,97270,73632,170902,,172803
37,96603,74918,171521,,173974
38,95977,74209,170186,,172594
39,95348,73453,168801,,171205
40,94681,72777,167458,,169830
41,101310,72072,173382,,175801
42,106330,71414,177744,,180188
43,109239,70752,179991,,182598
44,108424,70127,178551,,181146
45,107655,69455,177110,,179767
46,106920,68875,175795,,178417
47,106147,68276,174423,,177061
48,105440,67703,173143,,175714
49,104701,92932,197633,,200235
50,103951,91622,195573,,198230
51,103265,90248,193513,,196252
52,102547,89021,191568,,194331
53,109869,87845,197714,,200545
54,116524,86673,203197,,206138
55,121638,85507,207145,,210184
56,120709,84428,205137,,208153
57,119769,83327,203096,,206106
58,118826,82278,201104,,204149
59,117955,81303,199258,,202281
60,117003,80323,197326,,200427
61,116106,82864,198970,,202626
62,115249,81868,197117,,200760
63,114432,80898,195330,,198941
64,113577,79934,193511,,197113
65,117595,78976,196571,,200250
66,124991,78053,203044,,206867
67,131793,77141,208934,,212725
68,130734,76348,207082,,210849
69,129710,75507,205217,,209048
70,128679,74642,203321,,207224
71,127690,73873,201563,,205367
72,126644,73145,199789,,203600
73,125644,98044,223688,,227530
74,124674,96573,221247,,225210
75,123782,95091,218873,,222778
76,122861,93733,216594,,220593
77,128463,92359,220822,,224843
78,132830,91006,223836,,227986
79,140291,89687,229978,,234334
80,139138,88400,227538,,231937
81,138023,87166,225189,,229574
82,136939,86001,222940,,227322
83,135811,84874,220685,,225091
84,134723,83762,218485,,222925
85,133616,88497,222113,,226930
86,132569,87259,219828,,224674
87,131547,86073,217620,,222497
88,130540,84947,215487,,220320
89,137501,83866,221367,,226337
90,143513,82761,226274,,231390
91,148160,81691,229851,,235361
92,146881,80739,227620,,233076
93,145608,79823,225431,,230888
94,144411,78826,223237,,228727
95,143164,77889,221053,,226586
96,142057,76993,219050,,224512
97,140869,103414,244283,,249783
98,139710,101759,241469,,247025
99,138585,100155,238740,,244332
100,137472,98627,236099,,241633
101,145065,97117,242182,,247824
102,152171,95637,247808,,253456
103,158392,94238,252630,,258306
104,157019,92869,249888,,255597
105,155706,91547,247253,,252987
106,154402,90291,244693,,250389
107,153104,89015,242119,,247849
108,151791,87840,239631,,245360
109,150538,93012,243550,,249687
110,149260,91630,240890,,247058
111,148024,90339,238363,,244561
112,146751,89055,235806,,242111
113,151993,87797,239790,,246313
114,159581,86609,246190,,252820
115,166728,85377,252105,,258871
116,165289,84178,249467,,256316
117,163860,83114,246974,,253786
118,162373,82057,244430,,251346
119,160989,80988,241977,,248824
120,159649,80032,239681,,246469
121,158323,107246,265569,,272357
122,156992,105456,262448,,269188
123,155732,103715,259447,,266087
124,154393,102046,256439,,263131
125,160934,100453,261387,,268102
126,166413,98889,265302,,272158
127,174114,97304,271418,,278504
128,172559,95782,268341,,275432
129,171075,94320,265395,,272408
