seed,cycle,investor_percent_earning_share,investor_count,investment_rotation_years,nursery_count,police_count,member_count,exotic_price_per_bdft,native_price_per_bdft,Seedling,Sapling,Pole,Adult,Native,Seedling,Sapling,Pole,Adult,Exotic,Total,management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,average m_partners_earning,m_independent_earning,average m_independent_earning,own_laborer,member_laborer,independent_laborer,investor_total_profit,total_investment_cost,total net investor profit,average net investor profit,total_investments,inv_harvested_trees,with_investment,equally_profitable
10,193,0.3,5,15,3,3,30,45.06,49.35,56130,96236,28211,9944,190521,29180,32631,3480,31158,96449,286970,10795377.45,4787166.785,-6008210.667,10515649.01,6078.409835,149504618.5,94683.10226,724,1730,1579,942069.8736,836279.55,105790.3236,21158.06473,5,0,TRUE,0
10,188,0.3,5,15,3,3,30,90.12,98.7,76141,84920,28577,9580,199218,4767,35386,3891,28179,72223,271441,10797014.63,8570550.912,-2226463.72,12649331.83,7736.59439,473810874,248458.7698,583,1635,1907,1782884.623,836279.55,946605.0729,189321.0146,5,0,TRUE,0
10,193,0.3,5,15,3,3,15,45.06,49.35,60779,96973,26668,10965,195385,32250,35659,3391,34557,105857,301242,8062891.917,4548429.51,-3514462.406,5096634.522,4113.506475,68232273.18,98034.87526,344,1239,696,734402.2409,836279.55,-101877.3091,-20375.46182,5,0,TRUE,0
10,188,0.3,5,15,3,3,15,90.12,98.7,83744,84954,27765,11246,207709,5219,42636,4010,36044,87909,295618,10589209.09,9271102.589,-1318106.498,6858424.806,4017.823554,67646763.92,336551.0643,174,1707,201,3157034.685,836279.55,2320755.135,464151.0269,5,10,TRUE,0
10,193,0.3,5,15,3,1,30,45.06,49.35,55624,93590,29025,9634,187873,27538,32831,3271,29536,93176,281049,10124349.44,5164071.043,-4960278.397,7813527.115,4295.506935,197522764.9,101501.9347,586,1819,1946,1262239.149,836279.55,425959.5989,85191.91978,5,0,TRUE,0
10,188,0.3,5,15,3,1,30,90.12,98.7,75087,85301,28287,9416,198091,4646,36258,3905,27656,72465,270556,8181738.884,6966386.58,-1215352.304,8982624.959,6738.653383,505957820.4,244070.3427,588,1333,2073,401815.2573,836279.55,-434464.2927,-86892.85854,5,46,TRUE,0
10,192,0.3,5,15,3,1,15,45.06,49.35,65860,96265,27488,11502,201115,4753,39124,3563,37591,85031,286146,11197638.3,5223145.899,-5974492.397,8056747.936,3984.543984,0,0,144,2022,0,1188262.314,836279.55,351982.7637,70396.55274,5,1,TRUE,0
10,188,0.3,5,15,3,1,15,90.12,98.7,83862,85144,27628,11355,207989,5337,43492,4001,37104,89934,297923,11119605.9,9574713.235,-1544892.663,7875108.633,3981.349157,0,0,136,1978,0,3430220.395,836279.55,2593940.845,518788.1691,5,13,TRUE,0
10,193,0.3,5,15,1,3,30,45.06,49.35,54206,92569,27471,9304,183550,25735,30154,3302,27773,86964,270514,8887766.516,4411704.084,-4476062.432,6517384.972,5013.373055,226579456.7,99639.16303,617,1300,2274,1057647.866,836279.55,221368.3156,44273.66312,5,0,TRUE,0
10,188,0.3,5,15,1,3,30,90.12,98.7,73479,80058,29606,9365,192508,4579,35130,3834,27574,71117,263625,9596064.679,7414965.375,-2181099.305,11009125.92,7388.675115,478322830.7,227123.8513,630,1490,2106,1667189.061,836279.55,830909.5114,166181.9023,5,0,TRUE,0
10,193,0.3,5,15,1,3,15,45.06,49.35,59890,94866,28047,10761,193564,31385,34663,3385,33515,102948,296512,8173867.372,4512426.952,-3661440.42,5295664.469,4867.338666,106782795.7,123877.9533,481,1088,862,1142154.277,836279.55,305874.7274,61174.94549,5,0,TRUE,0
10,188,0.3,5,15,1,3,15,90.12,98.7,82329,83864,27897,10985,205075,5221,40936,4013,34490,84660,289735,9143625.696,7991009.679,-1152616.017,6841452.823,5037.888677,145569116.6,298297.3702,252,1358,488,2937034.935,836279.55,2100755.385,420151.0769,5,10,TRUE,0
10,193,0.3,5,15,1,1,30,45.06,49.35,53401,90211,27370,9201,180183,24949,29523,3381,27027,84880,265063,8752973.971,3990569.43,-4762404.541,7131392.679,5382.183154,252986458,104886.5912,425,1325,2412,694847.8303,836279.55,-141431.7197,-28286.34394,5,0,TRUE,0
10,188,0.3,5,15,1,1,30,90.12,98.7,76269,82452,29989,9889,198599,4921,37049,3844,30374,76188,274787,9690919.097,7735615.706,-1955303.391,16383262.45,10604.05337,356298744.7,217919.7216,646,1545,1635,1938377.253,836279.55,1102097.703,220419.5406,5,0,TRUE,0
10,193,0.3,5,15,1,1,15,45.06,49.35,61037,95544,27732,10778,195091,31298,35952,3456,33670,104376,299467,7572285.438,4680010.232,-2892275.206,5501423.633,5269.562867,103732564.5,129503.8259,308,1044,801,1285793.895,836279.55,449514.345,89902.869,5,0,TRUE,0
10,188,0.3,5,15,1,1,15,90.12,98.7,80557,82953,28137,10764,202411,5166,40266,4024,33884,83340,285751,9158247.186,8113860.14,-1044387.046,5961331.563,4571.573284,165036339,261133.4479,335,1304,632,3042328.942,836279.55,2206049.392,441209.8783,5,10,TRUE,0
10,128,0.3,5,10,3,3,30,45.06,49.35,68759,56477,33213,8967,167416,19025,26741,7991,30092,83849,251265,7550984.75,3683648.628,-3867336.122,5337408.025,4744.362689,122648614.5,93198.03533,446,1125,1316,355893.4159,569564.8,-213671.3841,-42734.27682,5,0,TRUE,0
10,128,0.3,5,10,3,3,30,90.12,98.7,68786,56490,33230,8976,167482,19027,26737,7988,30063,83815,251297,7535004.061,6797732.455,-737271.6058,6378572.979,5669.842648,247216786.5,187854.701,446,1125,1316,711786.8318,569564.8,142222.0318,28444.40636,5,0,TRUE,0
10,128,0.3,5,10,3,3,15,45.06,49.35,74846,54690,34145,10125,173806,22068,29257,8264,34335,93924,267730,7664517.494,3971933.477,-3692584.017,4384756.837,4011.671397,31151019.54,154212.968,181,1093,202,941926.3608,569564.8,372361.5608,74472.31216,5,9,TRUE,0
10,128,0.3,5,10,3,3,15,90.12,98.7,74846,54690,34145,10125,173806,22068,29257,8264,34335,93924,267730,7664517.494,7374302.154,-290215.3404,4397409.233,4023.24724,62302039.07,308425.936,181,1093,202,1883852.722,569564.8,1314287.922,262857.5843,5,9,TRUE,0
10,128,0.3,5,10,3,1,30,45.06,49.35,68038,54070,33719,8834,164661,18415,26311,8253,28894,81873,246534,7730693.123,3834182.22,-3896510.903,4989333.959,4368.943922,148283534.4,104572.3092,283,1142,1418,486495.5662,569564.8,-83069.2338,-16613.84676,5,0,TRUE,0
10,128,0.3,5,10,3,1,30,90.12,98.7,68038,54070,33719,8834,164661,18415,26311,8253,28894,81873,246534,7730693.123,7098799.64,-631893.4825,5526918.426,4839.683385,296567068.8,209144.6183,283,1142,1418,972991.1324,569564.8,403426.3324,80685.26648,5,0,TRUE,0
