seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,exotic_price_per_bdft,native_price_per_bdft,investor_percent_earning_share,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,own_laborer,member_laborer,independent_laborer,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,with_investment
10.0,193,15,3,3,30,15,45.06,49.35,0.3,63935,99389,28057,11683,35259,40052,3731,37459,25829764.12574353,12612779.71624387,-13216984.40949966,18093694.43971873,0.0,587,4042,0,4674759.386361241,2508838.65,15,101,true
10.0,188,15,3,3,30,15,90.12,98.7,0.3,85254,87156,28013,11640,5466,45814,4046,37268,24352314.958938118,18201976.580275342,-6150338.378662776,17574739.620238047,0.0,545,3941,0,8593645.931281183,2508838.65,15,196,true
10.0,193,15,3,3,15,15,45.06,49.35,0.3,64080,99460,27563,11758,35536,40158,3711,37762,24953226.116040546,8017986.26398979,-16935239.852050755,8751474.98153444,0.0,2816,2072,0,1606896.708445272,2508838.65,15,255,true
10.0,188,15,3,3,15,15,90.12,98.7,0.3,84746,86324,27917,11595,5508,45618,4182,37392,23462580.31272698,8396291.057675306,-15066289.255051672,8655608.05050119,0.0,2744,2027,0,983213.8704665195,2508838.65,15,354,true
10.0,193,15,3,1,30,15,45.06,49.35,0.3,64242,100129,28023,11735,35303,39852,3748,37601,25626200.298488714,12570969.773267772,-13055230.525220942,17864822.978577983,0.0,581,4031,0,4698026.311744693,2508838.65,15,104,true
10.0,188,15,3,1,30,15,90.12,98.7,0.3,85560,86242,28090,11706,5404,45377,4158,37138,23789500.711651467,15071871.033328075,-8717629.678323392,17357117.97093125,0.0,561,3931,0,6690446.88190637,2508838.65,15,251,true
10.0,193,15,3,1,15,15,45.06,49.35,0.3,64009,99409,27356,11773,35536,40016,3643,37782,25323597.04389839,9119490.469004117,-16204106.574894272,8956016.230971133,0.0,2795,2071,0,2129072.162111583,2508838.65,15,220,true
10.0,188,15,3,1,15,15,90.12,98.7,0.3,85042,86176,27840,11607,5552,45653,4293,37425,23162911.956239007,7727633.671317947,-15435278.284921061,8661396.56556842,0.0,2732,2027,0,395386.28589768824,2508838.65,15,365,true
10.0,193,15,1,3,30,15,45.06,49.35,0.3,63877,99424,27880,11725,35451,40218,3644,37725,24260791.605064344,12752456.26604972,-11508335.339014623,18251706.5972922,0.0,309,3941,0,5235619.9931366695,2508838.65,15,82,true
10.0,188,15,1,3,30,15,90.12,98.7,0.3,85034,86430,27947,11653,5554,45696,4195,37236,23182498.36903934,18593683.057919413,-4588815.311119929,17749198.000481088,0.0,307,3835,0,9811670.040288355,2508838.65,15,177,true
10.0,193,15,1,3,15,15,45.06,49.35,0.3,63844,98074,27623,11726,35418,40084,3777,37693,23584935.218619872,8522441.898432003,-15062493.320187869,9312454.731889702,0.0,2466,2017,0,2427967.6145590316,2508838.65,15,225,true
10.0,188,15,1,3,15,15,90.12,98.7,0.3,84824,85758,27829,11598,5439,45496,4156,37442,22095992.578416537,8688628.5047482,-13407364.073668338,9069530.285859546,0.0,2437,1974,0,2104518.5561516928,2508838.65,15,331,true
10.0,193,15,1,1,30,15,45.06,49.35,0.3,63988,98835,28009,11753,35429,40044,3682,37674,24129787.808698233,12682515.330081603,-11447272.47861663,18268613.12792247,0.0,304,3940,0,4863587.586176623,2508838.65,15,72,true
