'NATIVE',cycle,Seedling,Sapling,Pole,Adult,Native
NATIVE,0,25,50,54885,7400,62360
NATIVE,1,25,49,54664,7396,62134
NATIVE,2,24,49,54471,7392,61936
NATIVE,3,24,49,54279,7391,61743
NATIVE,4,23,49,54076,7388,61536
NATIVE,5,9120,48,53859,7425,70452
NATIVE,6,15976,48,53674,7430,77128
NATIVE,7,18624,47,53474,7435,79580
NATIVE,8,18397,47,53271,7439,79154
NATIVE,9,18164,47,53026,7494,78731
NATIVE,10,17942,47,52828,7495,78312
NATIVE,11,17730,46,52615,7497,77888
NATIVE,12,17510,46,52440,7489,77485
NATIVE,13,17315,49,52156,7556,77076
NATIVE,14,17095,49,51967,7551,76662
NATIVE,15,16907,47,51785,7545,76284
NATIVE,16,16722,47,51593,7543,75905
NATIVE,17,17625,47,51371,7560,76603
NATIVE,18,25236,47,51181,7572,84036
NATIVE,19,32218,46,51001,7568,90833
NATIVE,20,31827,44,50825,7568,90264
NATIVE,21,31442,50,50612,7603,89707
NATIVE,22,31036,56,50359,7646,89097
NATIVE,23,30676,56,50182,7653,88567
NATIVE,24,30335,55,50020,7654,88064
NATIVE,25,29973,55,49856,7656,87540
NATIVE,26,29615,54,49606,7729,87004
NATIVE,27,29275,54,49441,7724,86494
NATIVE,28,28934,53,49285,7725,85997
NATIVE,29,33962,52,49085,7730,90829
NATIVE,30,36556,50,48881,7770,93257
NATIVE,31,44034,50,48716,7768,100568
NATIVE,32,43514,50,48530,7777,99871
NATIVE,33,43016,49,48364,7784,99213
NATIVE,34,42510,49,48130,7861,98550
NATIVE,35,42021,48,47946,7899,97914
NATIVE,36,41516,48,47790,7916,97270
NATIVE,37,41026,48,47612,7917,96603
NATIVE,38,40554,48,47436,7939,95977
NATIVE,39,40090,48,47214,7996,95348
NATIVE,40,39598,47,47049,7987,94681
NATIVE,41,46387,46,46879,7998,101310
NATIVE,42,51550,46,46676,8058,106330
NATIVE,43,54618,45,46369,8207,109239
NATIVE,44,53958,45,46211,8210,108424
NATIVE,45,52586,813,46040,8216,107655
NATIVE,46,47048,5757,45896,8219,106920
NATIVE,47,43528,8666,45729,8224,106147
NATIVE,48,40658,10988,45565,8229,105440
NATIVE,49,39551,11518,45396,8236,104701
NATIVE,50,39060,11410,45242,8239,103951
NATIVE,51,38598,11306,45114,8247,103265
NATIVE,52,38142,11190,44935,8280,102547
NATIVE,53,45731,11063,44798,8277,109869
NATIVE,54,52650,10954,44634,8286,116524
NATIVE,55,58053,10827,44454,8304,121638
NATIVE,56,57362,10718,44279,8350,120709
NATIVE,57,56608,10667,44143,8351,119769
NATIVE,58,54737,11719,44001,8369,118826
NATIVE,59,50965,14771,43823,8396,117955
NATIVE,60,46329,18616,43591,8467,117003
NATIVE,61,44210,19979,43451,8466,116106
NATIVE,62,43675,19795,43303,8476,115249
NATIVE,63,43206,19593,43130,8503,114432
NATIVE,64,42688,19380,42949,8560,113577
NATIVE,65,47048,19174,42774,8599,117595
NATIVE,66,54800,18962,42629,8600,124991
NATIVE,67,61904,18780,42487,8622,131793
NATIVE,68,61183,18602,42294,8655,130734
NATIVE,69,60031,18854,42143,8682,129710
NATIVE,70,56485,21484,42016,8694,128679
NATIVE,71,53973,23146,41863,8708,127690
NATIVE,72,50097,26127,41686,8734,126644
NATIVE,73,47811,27556,41483,8794,125644
NATIVE,74,47295,27241,41334,8804,124674
NATIVE,75,46789,26972,41211,8810,123782
NATIVE,76,46267,26695,41068,8831,122861
NATIVE,77,52318,26378,40867,8900,128463
NATIVE,78,57081,26099,40751,8899,132830
NATIVE,79,64967,25839,40586,8899,140291
NATIVE,80,64206,25575,40442,8915,139138
NATIVE,81,62881,25906,40278,8958,138023
NATIVE,82,58229,29602,40121,8987,136939
NATIVE,83,54959,31864,39990,8998,135811
NATIVE,84,51919,33961,39804,9039,134723
NATIVE,85,50461,34438,39591,9126,133616
NATIVE,86,49894,34078,39367,9230,132569
NATIVE,87,49326,33734,39251,9236,131547
NATIVE,88,48791,33392,39120,9237,130540
NATIVE,89,56209,33061,38982,9249,137501
NATIVE,90,62675,32735,38824,9279,143513
NATIVE,91,67799,32372,38716,9273,148160
NATIVE,92,66979,32041,38580,9281,146881
NATIVE,93,65468,32398,38445,9297,145608
NATIVE,94,60282,36522,38266,9341,144411
NATIVE,95,56304,39393,38108,9359,143164
NATIVE,96,52118,42594,37971,9374,142057
