seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,exotic_price_per_bdft,native_price_per_bdft,investor_percent_earning_share,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,own_laborer,member_laborer,independent_laborer,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,with_investment
10.0,139,10,1,1,15,30,90.12,98.7,0.3,78968,62041,33288,10661,5648,41198,7123,36183,20498535.41541087,14093595.299446533,-6404940.115964336,6927404.428001516,0.0,2184,1713,0,3942768.944509768,3417388.7999999993,30,485,true
10.0,139,10,1,1,15,30,45.06,49.35,0.3,78479,62272,33407,10626,5709,40908,7095,36002,20436414.166183293,8743884.518520666,-11692529.647662627,6912866.930360184,0.0,2183,1713,0,1961435.159795513,3417388.7999999993,30,489,true
10.0,141,10,1,1,30,30,90.12,98.7,0.3,76490,62100,33509,10667,5374,39560,6329,36927,27284871.102792732,16231091.488689305,-11053779.614103427,13532822.267656006,0.0,2220,3432,0,1228319.2444604873,3417388.7999999993,30,442,true
10.0,141,10,1,1,30,30,45.06,49.35,0.3,76490,62100,33509,10667,5374,39560,6329,36927,27284871.102792732,9824240.144344654,-17460630.95844808,13532822.267656006,0.0,2220,3432,0,614159.6222302436,3417388.7999999993,30,442,true
10.0,144,10,1,3,15,30,90.12,98.7,0.3,60719,72271,32976,10658,4883,36051,5900,37063,21176908.265469003,15726279.579289097,-5450628.686179906,7199822.140565683,0.0,2256,1766,0,3175467.261234642,3417388.7999999993,30,456,true
10.0,144,10,1,3,15,30,45.06,49.35,0.3,60719,72271,32976,10658,4883,36051,5900,37063,21176908.265469003,9571834.189644547,-11605074.075824456,7199822.140565683,0.0,2256,1766,0,1587733.630617321,3417388.7999999993,30,456,true
10.0,144,10,1,3,30,30,90.12,98.7,0.3,61182,73079,33139,10697,4882,36849,5957,37050,28028783.882309835,16043155.899833718,-11985627.982476117,13713764.601627436,0.0,2250,3529,0,2776424.664962215,3417388.7999999993,30,436,true
10.0,144,10,1,3,30,30,45.06,49.35,0.3,61182,73079,33139,10697,4882,36849,5957,37050,28028783.882309835,9730272.34991686,-18298511.532392975,13713764.601627436,0.0,2250,3529,0,1388212.3324811074,3417388.7999999993,30,436,true
10.0,140,10,3,1,15,30,90.12,98.7,0.3,78106,61290,33362,10608,5601,40107,6641,36598,21510551.81225375,16918048.724698503,-4592503.087555248,6410840.633457287,0.0,2176,1755,0,2302658.042245983,3417388.7999999993,30,444,true
10.0,140,10,3,1,15,30,45.06,49.35,0.3,78106,61290,33362,10608,5601,40107,6641,36598,21510551.81225375,10167718.762349255,-11342833.049904495,6410840.633457287,0.0,2176,1755,0,1151329.0211229916,3417388.7999999993,30,444,true
10.0,136,10,3,1,30,30,90.12,98.7,0.3,57001,64061,34045,10483,6202,44922,7942,35583,26179493.66311849,15688115.915072633,-10491377.748045856,12553221.206119241,0.0,2142,3354,0,1294686.876730286,3417388.7999999993,30,466,true
10.0,139,10,3,1,30,30,45.06,49.35,0.3,79262,62287,33668,10621,5730,41436,7123,36013,26784394.545593984,9536237.687862962,-17248156.857731022,12908913.508784302,0.0,2182,3443,0,633188.007216555,3417388.7999999993,30,467,true
10.0,138,10,3,3,15,30,90.12,98.7,0.3,72622,62729,33727,10589,5902,42215,7823,35562,21160299.106495064,20359410.75376905,-800888.3527260125,6582219.863084371,0.0,2145,1726,0,3493425.935830768,3417388.7999999993,30,368,true
10.0,138,10,3,3,15,30,45.06,49.35,0.3,72622,62729,33727,10589,5902,42215,7823,35562,21160299.106495064,11888399.77688452,-9271899.329610543,6582219.863084371,0.0,2145,1726,0,1746712.967915384,3417388.7999999993,30,368,true
