,Native dbh in cm,,,,Native th in m,,,,Exotic dbh in cm,,,,Exotic th in m,,,
cycle,Seedling,Sapling,Pole,Adult,Seedling,Sapling,Pole,Adult,Seedling,Sapling,Pole,Adult,Seedling,Sapling,Pole,Adult
0,1.5,4.612,17.30012754,39.48928378,4.8,5.8,6.150526556,8.131351351,0,0,21.17897641,50.5128161,0,0,4.938402712,4.850819243
1,1.5258048,4.6371904,17.33232011,39.5177753,1.688554891,4.433530296,12.96238664,18.53245788,0,0,21.25588338,50.5896496,0,0,11.17254538,13.46672961
2,1.5516096,4.6623808,17.36350116,39.54176966,1.703427789,4.458071109,12.9766408,18.53597552,0,0,21.33544922,50.66866475,0,0,11.19210933,13.4685655
3,1.57584,4.6875712,17.39612635,39.57198786,1.717616112,4.482619378,12.99145023,18.54028562,0,0,21.42159871,50.75366514,0,0,11.21322026,13.47047801
4,1.601348573,4.713052344,17.42726908,39.59932753,1.732791919,4.507456865,13.00563123,18.54421324,0,0,21.49495222,50.82362132,0,0,11.23110148,13.47206022
5,0.722393254,4.741920914,17.45349466,39.5804742,1.363746264,4.535602703,13.0185912,18.54140815,0,0,21.56683873,50.89700092,0,0,11.24883204,13.47368598
6,0.740651291,4.79007347,17.48685736,39.60057817,1.367822877,4.582875138,13.03392758,18.54428406,0,0,21.63691752,50.96921672,0,0,11.26585809,13.47525544
7,0.764301533,4.815870322,17.51767274,39.61603953,1.373530565,4.608025961,13.04810833,18.54653675,0,0,21.71105535,51.03970171,0,0,11.28356604,13.4768056
8,0.795888306,4.841812713,17.54845671,39.62888943,1.381516156,4.633320879,13.06237071,18.54823337,0,0,21.78822035,51.11151795,0,0,11.30201849,13.47837952
9,0.826711284,4.888918098,17.56776761,39.58473024,1.389747846,4.679577955,13.07269592,18.5417592,0,0,21.86249964,51.18049303,0,0,11.31966712,13.47990588
10,0.857418458,4.890180671,17.59794826,39.60581764,1.398380805,4.680441263,13.08641243,18.54478668,0,0,21.66848155,50.41209518,0,0,11.29004106,13.45302084
11,0.888184159,4.915344926,17.62751607,39.62327381,1.407462084,4.704979802,13.09986444,18.54731453,0,0,21.59477557,50.06008204,0,0,11.28222996,13.44049811
12,0.91891236,4.963515033,17.65681731,39.65059416,1.416963709,4.752268023,13.11314369,18.55122969,0,0,21.67583403,50.13703062,0,0,11.3016877,13.442497
13,0.949554182,4.864547622,17.6707477,39.5806152,1.426840162,4.661293245,13.12162526,18.54092619,0,0,21.7060622,50.09486327,0,0,11.31170489,13.44045123
14,0.980293888,4.874581866,17.70296294,39.60853848,1.437203005,4.670898821,13.13606061,18.54493281,0,0,21.78631171,50.1699316,0,0,11.33070639,13.44238754
15,1.011013577,4.89275325,17.73485351,39.63460188,1.447984507,4.688415458,13.15030797,18.548695,0,0,21.87094695,50.25430476,0,0,11.35067105,13.44449519
16,1.041881373,4.791569693,17.76564002,39.66068613,1.459223682,4.594982215,13.16407882,18.5524482,0,0,21.94585553,50.32818661,0,0,11.36816088,13.44634432
17,1.054457569,4.761497389,17.7966684,39.66009064,1.465598551,4.567361077,13.17849427,18.55234323,0,0,21.94629807,50.20148804,0,0,11.372678,13.44148477
18,0.974026526,4.790160247,17.8290546,39.66607934,1.442677961,4.594406664,13.19328409,18.55316341,0,0,22.0144578,50.27509624,0,0,11.38836339,13.44337849
19,0.94064639,4.816503348,17.86148594,39.69322754,1.432962818,4.619291733,13.20752172,18.55706837,0,0,22.08233003,50.35230698,0,0,11.40384348,13.44533962
20,0.972156273,4.842995264,17.89110622,39.71325482,1.443425483,4.644342379,13.22079693,18.55986011,0,0,22.15482884,50.42871743,0,0,11.42033082,13.44721884
21,1.002762866,4.497908153,17.91209374,39.69038539,1.453965022,4.32321118,13.23101889,18.55635474,0,0,22.22980118,50.50229758,0,0,11.43735911,13.44901878
22,1.033196753,4.063295063,17.93080859,39.65317581,1.46482677,3.917560592,13.24049367,18.55086858,0,0,22.31378688,50.58898673,0,0,11.45626575,13.45112382
23,1.064015668,4.118317425,17.95893816,39.66504435,1.476315702,3.968394957,13.25314293,18.55241177,0,0,22.396095,50.67334626,0,0,11.47446558,13.4531853
24,1.094802425,4.106855275,17.9891138,39.68754734,1.48820582,3.955697574,13.26654775,18.55563447,0,0,22.47666661,50.75589206,0,0,11.49226738,13.45518061
25,1.125424172,4.131083434,18.0199344,39.7070069,1.500437548,3.978118501,13.28013502,18.55843404,1.25,0,22.5538103,50.8336491,1.591294249,0,11.50924792,13.45704159
